Employer,Job Title/Position,Salary,Job Description,Status
1KOMMA5˚,"Buchhalter*in (m/w/d) - Remote, Berlin, Rostock","$50,000 - $80,000","1KOMMA5° Bei 1KOMMA5° bauen wir Europas führende Energie-Software-Plattform “Heartbeat” und schaffen so ein virtuelles Kraftwerk , das Photovoltaik, Stromspeicher, Wärmepumpen und Ladesäulen der Kunden verknüpft und so die Rentabilität vernetzter Kundenanlagen deutlich erhöht. Wir bieten Kunden zudem einen "" One-Stop-Shop"" für den Kauf und die Installation individueller und intelligenter Energie-Systemlösungen, damit jeder Haushalt schnell und professionell klimaneutral wohnen, heizen und mobil sein kann. Gleichzeitig arbeiten wir in unserer Technologie-Sparte an der Weiterentwicklung und dem Ausbau der Heartbeat-Software, um Kunden weltweit mit dem Strommarkt zu vernetzen und so immer den günstigsten und saubersten Stromtarif anbieten zu können. Hast du Lust, die Energierevolution mit uns anzugehen? Dann bewirb dich jetzt und werde Teil unserer Mission!</str [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
2100 NVIDIA USA,Distinguished Engineer Apache Spark,"$50,000 - $80,000","Distinguished Engineer - Accelerated Apache Spark NVIDIA is seeking a Distinguished Engineer for the Apache Spark Acceleration group. Over the past five years GPU accelerated data processing has moved from proof of concept to production deployments. Many enterprises are now recognizing the needs of accelerated computing for large scale data processing. Multi-node GPU deployments will reduce cloud computing costs and lower latency of large scale data processing. At NVIDIA, we have been invested in accelerating Apache Spark, providing an open source plugin for Apache Spark. Apache Spark is the most popular data processing engine in data centers. We strive to accelerate Spark applications on GPUs without any code changes. Our OSS RAPIDS Spark library is integrated with on-premise and cloud services such as AWS EMR, Databricks, Google Dataproc, Oracle Cloud Data Flow, Bytedance Volcengine, Tencent Cloud and Cloudera. You will serve as a hands-on architect of Nvidia Spark Acceleration Group [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
2LIFE COMMUNITIES,Group Services Coordinator,"$55,000 - $65,000","The Group Services Coordinator (GSC) plays a key role in designing, coordinating, and delivering engaging group programs and activities that enrich the lives of residents. ESSENTIAL JOB FUNCTIONS Event Planning and Implementation Source, schedule, advertise, supervise, and promote activities and programming for building and community events for a diverse population of multicultural/multilingual residents. Prepare menus, buy and prepare food and refreshments, coordinate help with other staff, se…",Currently Open
3 Key Consulting,Engineer - Biopharma Upstream/Downstream Process/Equipment Support (JP13711),"$76,960 - $85,280","Job Title: Engineer - Biopharma Upstream/Downstream Process/Equipment Support (JP13711) Location: Cambridge, MA. 02138 Employment Type: Contract Pay Rate: $37.00 - $41.00/hour Business Unit: AMA Pilot Plant Duration: 9 months (with likely extensions and/or conversion to permanent) Posting Date: 02/17/25 Notes: Only qualified candidates need apply. * * * Manager is not interested in relocation candidates. 3 Key Consulting is hiring an Engineer for a consulting engagement with our direct client, …",Currently Open
3 Key Consulting,"Engineer Senior, Biotech Sterilization (JP13707)","$91,520 - $104,000","Job Title : Engineer Senior, Biotech Sterilization (JP13707) Location : Cambridge, MA. 02138 Business Unit: Manufacturing Science and Technology Employment Type: Contract Duration: 1 year with likely extensions and/or conversion to a permanent position. Rate: $44 - $50/hour W2 Posting Date : 02/17/2025. Notes: Only qualified candidates need apply. 3 Key Consulting is hiring! We are recruiting an Engineer Senior, Biotech Gas Sterilization for a consulting engagement with our direct client, a lea…",Currently Open
3 Key Consulting,Engineer – E2E Pivotal Drug Substance Development (JP13969),"$74,880 - $85,280","Job Title: Engineer – E2E Pivotal Drug Substance Development (JP13969) Location: Cambridge, CA. 02138 Employment Type: Contract Business Unit: AMA Pilot Plant Duration: 1 years (with likely extensions and/or conversion to permanent) Rate: $36 - $41/ hour Posting Date: 04/19/25 Notes: Only qualified LOCAL candidates need apply. Must have lab or relevant industry experience and at least one year working on similar projects* 3 Key Consulting is hiring an Engineer for a consulting engagement with o…",Currently Open
5 Legal,Leveraged Finance Associate,"$66,337","Job Description Job Description A Global law firm is looking for associates to join their Leveraged Finance Practice in any of its US offices. The ideal candidates must have 3-5 years of corporate or finance experience, excellent analytical and writing skills, and strong academic backgrounds from nationally recognized law schools. Candidates should have a minimum of 3 years of relevant experience in leveraged finance, debt capital markets, structured finance, or project finance. Big law experie…",Currently Open
6 Figure Creative,Digital Marketing Coach,"$60,000 - $100,000","Headquarters: United States URL: https://6figurecreative.com Dear Future Marketing Coach, We're looking for a Coach who is amazing at helping freelancers implement the marketing plans we create for them. This role is a top priority at 6 Figure Creative. Why? Because our flagship coaching program, Clients By Design , is growing fast, and our current coaching team only have a few spots left on their rosters. The #1 struggle most creatives face is that they have no idea where their next client is coming from , and everything we do inside Clients By Design is to help creative freelancers solve that problem (for good). We joke that our mission is to plunge humanity into chaos by helping all eight [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
7-Eleven,"Field Consultant #2464 (Boston, MA)","$90,000 - $150,000","▶ Who We Are Imagine working in a place where continuous improvement and innovation is celebrated and rewarded; where fast-paced, high-impact teams come together to positively drive results for one of the largest & most iconic brands in the world. As the only rapidly growing retailer, you may know us as your friendly neighborhood store. You probably know our familiar name, have seen our pervasive logo, and have tried our highly sought-after products, such as Slurpee® and Big Bite®. “Brain Freeze” is a 7-Eleven registered trademark for our 53-year old Slurpee® and with over 71,100 stores globally (more than any other retailer or food service provider), we sell over 14 million a month. But there’s a lot more to our story and much more left to be written. We are transforming our business, ensuring we are customer obsessed and digitally enabled to seamlessly link our brick and mortar stores with digital products and services. At 7-Eleven the entrepreneurial spirit is in our DNA and h [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
7-Eleven,Zone Asset Protection Manager,"$50,000 - $80,000","▶ Who We Are Imagine working in a place where continuous improvement and innovation is celebrated and rewarded; where fast-paced, high-impact teams come together to positively drive results for one of the largest & most iconic brands in the world. As the only rapidly growing retailer, you may know us as your friendly neighborhood store. You probably know our familiar name, have seen our pervasive logo, and have tried our highly sought-after products, such as Slurpee® and Big Bite®. “Brain Freeze” is a 7-Eleven registered trademark for our 53-year old Slurpee® and with over 67,000 stores globally (more than any other retailer or food service provider), we sell over 14 million a month. But there’s a lot more to our story and much more left to be written. We are transforming our business, ensuring we are customer obsessed and digitally enabled to seamlessly link our brick and mortar stores with digital products and services. At 7-Eleven the entrepreneurial spirit is in our DNA and h [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
