title,employer,location,city,state,salary_min,salary_max,source,url,posted_date,status
Recreation Assistant NF-03,United States Army Installation Management Command,"Ansbach, Germany","Ansbach, Germany",,31305.0,38500.0,usajobs,https://www.usajobs.gov:443/job/854422600,2026-01-14T07:27:15.0200,active
Graphic Arts Designer NF-03,United States Army Installation Management Command,"Ansbach, Germany","Ansbach, Germany",,37000.0,42000.0,usajobs,https://www.usajobs.gov:443/job/854593500,2026-01-14T00:00:00.0000,active
Immigration Judge,Executive Office for Immigration Review,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,159951.0,207500.0,usajobs,https://www.usajobs.gov:443/job/853385500,2025-12-30T00:00:00.0000,active
2026 Summer Library of Congress Intern (Remote),Library of Congress,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,17.47,19.24,usajobs,https://www.usajobs.gov:443/job/853565600,2026-01-05T00:00:00.0000,active
AI Operations Specialist,Library of Congress,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,143913.0,187093.0,usajobs,https://www.usajobs.gov:443/job/853660100,2026-01-06T00:00:00.0000,active
Procurement Technician,Library of Congress,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,46610.0,60593.0,usajobs,https://www.usajobs.gov:443/job/854840400,2026-01-20T10:50:59.6800,active
Management and Program Analyst (Intake Specialist),Office of Accountability and Whistleblower Protection,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,125776.0,197200.0,usajobs,https://www.usajobs.gov:443/job/854660900,2026-01-15T13:58:29.2630,active
Senior Compliance Investigator - SME,Pipeline and Hazardous Materials Safety Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,106382.0,138296.0,usajobs,https://www.usajobs.gov:443/job/854132800,2026-01-13T00:00:00.0000,active
Compliance Investigator (Instructor) - SME (Open to both U.S. Citizens and Federal Employees),Pipeline and Hazardous Materials Safety Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,89508.0,138370.0,usajobs,https://www.usajobs.gov:443/job/854792700,2026-01-16T13:56:38.5230,active
Physician (Chief of Radiology/Imaging),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,275000.0,400000.0,usajobs,https://www.usajobs.gov:443/job/853506200,2026-01-02T00:00:00.0000,active
"Physician (VISN 22 Clinical Resource Hub, Tele-Endocrinology)",Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,123077.0,315000.0,usajobs,https://www.usajobs.gov:443/job/853771100,2026-01-08T00:00:00.0000,active
Lead Medical Records Technician (Coder),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,61722.0,80243.0,usajobs,https://www.usajobs.gov:443/job/853791200,2026-01-07T12:10:05.7230,active
Management Assistant,Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,50460.0,82007.0,usajobs,https://www.usajobs.gov:443/job/854309200,2026-01-14T00:00:00.0000,active
Program Analyst,Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,74678.0,121371.0,usajobs,https://www.usajobs.gov:443/job/854335800,2026-01-14T00:00:00.0000,active
Peer Specialist,Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,61722.0,100315.0,usajobs,https://www.usajobs.gov:443/job/854527600,2026-01-16T00:00:00.0000,active
Supervisory Medical Records Technician (Coder),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,73236.0,95202.0,usajobs,https://www.usajobs.gov:443/job/854667500,2026-01-15T14:16:02.6270,active
Medical Records Technician (Coder) Auditor,Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,66505.0,86461.0,usajobs,https://www.usajobs.gov:443/job/854669000,2026-01-15T14:20:47.6170,active
MEDICAL RECORDS TECH (CODER) A,Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,66505.0,86461.0,usajobs,https://www.usajobs.gov:443/job/854670100,2026-01-15T14:24:03.9070,active
Medical Records Tech (Coder Outpat),Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,36409.0,72644.0,usajobs,https://www.usajobs.gov:443/job/854733900,2026-01-16T08:33:48.4970,active
Physician - Diagnostic Radiologist,Veterans Health Administration,"Anywhere in the U.S. (remote job), United States","Anywhere in the U.S. (remote job), United States",,375000.0,400000.0,usajobs,https://www.usajobs.gov:443/job/854743800,2026-01-16T09:38:59.0530,active
