skill_name,skill_type
Active Learning,Core Skill
Active Listening,Core Skill
Complex Problem Solving,Core Skill
Coordination,Core Skill
Critical Thinking,Core Skill
Equipment Maintenance,Core Skill
Equipment Selection,Core Skill
Installation,Core Skill
Instructing,Core Skill
Judgment and Decision Making,Core Skill
Learning Strategies,Core Skill
Management of Financial Resources,Core Skill
Management of Material Resources,Core Skill
Management of Personnel Resources,Core Skill
Mathematics,Core Skill
Monitoring,Core Skill
Negotiation,Core Skill
Operation and Control,Core Skill
Operations Analysis,Core Skill
Operations Monitoring,Core Skill
Persuasion,Core Skill
Programming,Core Skill
Quality Control Analysis,Core Skill
Reading Comprehension,Core Skill
Repairing,Core Skill
Science,Core Skill
Service Orientation,Core Skill
Social Perceptiveness,Core Skill
Speaking,Core Skill
Systems Analysis,Core Skill
Systems Evaluation,Core Skill
Technology Design,Core Skill
Time Management,Core Skill
Troubleshooting,Core Skill
Writing,Core Skill
Access software,Technology Category
Accounting software,Technology Category
Action games,Technology Category
Administration software,Technology Category
Analytical or scientific software,Technology Category
Application server software,Technology Category
Audit software,Technology Category
Authentication server software,Technology Category
Aviation ground support software,Technology Category
Backup or archival software,Technology Category
Bar coding software,Technology Category
Billing and invoicing software,Technology Category
Bridge software,Technology Category
Business intelligence and data analysis software,Technology Category
Calendar and scheduling software,Technology Category
Categorization or classification software,Technology Category
Charting software,Technology Category
Cloud-based data access and sharing software,Technology Category
Cloud-based management software,Technology Category
Cloud-based protection or security software,Technology Category
Clustering software,Technology Category
Communications server software,Technology Category
Compiler and decompiler software,Technology Category
Compliance software,Technology Category
Computer aided design CAD and computer aided manufacturing CAM system,Technology Category
Computer aided design CAD software,Technology Category
Computer aided manufacturing CAM software,Technology Category
Computer based training software,Technology Category
Computer imaging software,Technology Category
Configuration management software,Technology Category
Contact center software,Technology Category
Content workflow software,Technology Category
Customer relationship management CRM software,Technology Category
Data base management system software,Technology Category
Data base reporting software,Technology Category
Data base user interface and query software,Technology Category
Data compression software,Technology Category
Data conversion software,Technology Category
Data mining software,Technology Category
Desktop communications software,Technology Category
Desktop publishing software,Technology Category
Development environment software,Technology Category
Device drivers or system software,Technology Category
Dictionary software,Technology Category
Document management software,Technology Category
Electronic mail software,Technology Category
Enterprise application integration software,Technology Category
Enterprise resource planning ERP software,Technology Category
Enterprise system management software,Technology Category
Expert system software,Technology Category
Eye tracking software,Technology Category
Facilities management software,Technology Category
Fax software,Technology Category
File versioning software,Technology Category
Filesystem software,Technology Category
Financial analysis software,Technology Category
Flight control software,Technology Category
Foreign language software,Technology Category
Gateway software,Technology Category
Geographic information system,Technology Category
Graphical user interface development software,Technology Category
Graphics card driver software,Technology Category
Graphics or photo imaging software,Technology Category
Helpdesk or call center software,Technology Category
Human resources software,Technology Category
Industrial control software,Technology Category
Information retrieval or search software,Technology Category
Instant messaging software,Technology Category
Interactive voice response software,Technology Category
Internet browser software,Technology Category
Internet directory services software,Technology Category
Internet protocol IP multimedia subsystem software,Technology Category
Inventory management software,Technology Category
LAN software,Technology Category
Label making software,Technology Category
Legal management software,Technology Category
Library software,Technology Category
License management software,Technology Category
Mailing and shipping software,Technology Category
Manufacturing execution system MES software,Technology Category
Map creation software,Technology Category
Materials requirements planning logistics and supply chain software,Technology Category
Medical software,Technology Category
Metadata management software,Technology Category
Mobile location based services software,Technology Category
Mobile messaging service software,Technology Category
Mobile operator specific application software,Technology Category
Multi-media educational software,Technology Category
Music or sound editing software,Technology Category
Network conferencing software,Technology Category
Network connectivity terminal emulation software,Technology Category
Network monitoring software,Technology Category
Network operating system enhancement software,Technology Category
Network operation system software,Technology Category
Network security and virtual private network VPN equipment software,Technology Category
Network security or virtual private network VPN management software,Technology Category
Object or component oriented development software,Technology Category
Object oriented data base management software,Technology Category
Office suite software,Technology Category
Operating system software,Technology Category
Optical character reader OCR or scanning software,Technology Category
Optical network management software,Technology Category
Pattern design software,Technology Category
Platform interconnectivity software,Technology Category
Point of sale POS software,Technology Category
Portal server software,Technology Category
Presentation software,Technology Category
Printer driver software,Technology Category
Procedure management software,Technology Category
Process mapping and design software,Technology Category
Procurement software,Technology Category
Program testing software,Technology Category
Project management software,Technology Category
Requirements analysis and system architecture software,Technology Category
Risk management data and analysis software,Technology Category
Route navigation software,Technology Category
Sales and marketing software,Technology Category
Software defined networking/ virtualization software,Technology Category
Spell checkers,Technology Category
Spreadsheet software,Technology Category
Storage media loading software,Technology Category
Storage networking software,Technology Category
Switch or router software,Technology Category
Tax preparation software,Technology Category
Text to speech conversion software,Technology Category
Time accounting software,Technology Category
Transaction security and virus protection software,Technology Category
Transaction server software,Technology Category
Video conferencing software,Technology Category
Video creation and editing software,Technology Category
Voice recognition software,Technology Category
Voice synthesizer and recognition software,Technology Category
WAN switching software and firmware,Technology Category
