source,title,employer,location,city,state,salary_min,salary_max,status,confidence_score,data_type,year
adzuna,Group Services Coordinator,2LIFE COMMUNITIES,"Newton Highlands, Middlesex County",Newton Highlands,Middlesex County,55000.0,65000.0,active,0.8,job_listing,
adzuna,Mobile Veterinarian,Lap of Love,"Woburn, Middlesex County",Woburn,Middlesex County,104355.95,104355.95,active,0.8,job_listing,
adzuna,Part- time Veterinarian,Lap of Love,"South Waltham, Middlesex County",South Waltham,Middlesex County,93996.03,93996.03,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver,GoPuff,"South Boston, Suffolk County",South Boston,Suffolk County,70391.31,70391.31,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"Dedham, Norfolk County",Dedham,Norfolk County,77777.41,77777.41,active,0.8,job_listing,
adzuna,"Gopuff Delivery Driver Partner - No Riders, No Restaurants",GoPuff,"Somerville, Middlesex County",Somerville,Middlesex County,51197.0,51197.0,active,0.8,job_listing,
adzuna,Culinary Associate-Roslindale,Hebrew SeniorLife,"South Boston, Suffolk County",South Boston,Suffolk County,68789.17,68789.17,active,0.8,job_listing,
adzuna,Make Your Own Schedule - Deliver With Gopuff,GoPuff,"Belmont, Middlesex County",Belmont,Middlesex County,72731.69,72731.69,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"Chelsea, Suffolk County",Chelsea,Suffolk County,87790.66,87790.66,active,0.8,job_listing,
adzuna,Deliver with Gopuff - Earn Big & Keep 100% of Your Tips,GoPuff,"Arlington, Middlesex County",Arlington,Middlesex County,84542.59,84542.59,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"Waban, Middlesex County",Waban,Middlesex County,80660.34,80660.34,active,0.8,job_listing,
adzuna,Earn Cash with Gopuff In Your Free Time,Gopuff,"Revere Beach, Suffolk County",Revere Beach,Suffolk County,64118.98,64118.98,active,0.8,job_listing,
adzuna,Drive with Gopuff - Choose when you work,Gopuff,"Revere Beach, Suffolk County",Revere Beach,Suffolk County,59174.21,59174.21,active,0.8,job_listing,
adzuna,Deliver with Gopuff on your schedule,Gopuff,"Milton, Norfolk County",Milton,Norfolk County,114285.59,114285.59,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"Saugus, Essex County",Saugus,Essex County,109130.93,109130.93,active,0.8,job_listing,
adzuna,Earn Cash with Gopuff In Your Free Time,Gopuff,"Milton, Norfolk County",Milton,Norfolk County,100875.34,100875.34,active,0.8,job_listing,
adzuna,Deliver with Gopuff on your schedule,Gopuff,"Medford, Middlesex County",Medford,Middlesex County,73660.92,73660.92,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver - Choose when you work,GoPuff,"Arlington, Middlesex County",Arlington,Middlesex County,71220.39,71220.39,active,0.8,job_listing,
adzuna,Deliver with Gopuff on your schedule,Gopuff,"Everett, Middlesex County",Everett,Middlesex County,81329.88,81329.88,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"West Lynn, Essex County",West Lynn,Essex County,84379.08,84379.08,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver Partner,GoPuff,"Watertown, Middlesex County",Watertown,Middlesex County,107004.53,107004.53,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"South Boston, Suffolk County",South Boston,Suffolk County,112178.41,112178.41,active,0.8,job_listing,
adzuna,Drive with Gopuff - Flexible Hours,Gopuff,"Newton Highlands, Middlesex County",Newton Highlands,Middlesex County,58971.86,58971.86,active,0.8,job_listing,
adzuna,Become a Gopuff Driver - Sign Up Today,Gopuff,"Melrose, Middlesex County",Melrose,Middlesex County,70496.72,70496.72,active,0.8,job_listing,
adzuna,Make Your Own Schedule - Deliver With Gopuff,Gopuff,"Winthrop, Suffolk County",Winthrop,Suffolk County,64326.18,64326.18,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"Mattapan, Suffolk County",Mattapan,Suffolk County,81263.66,81263.66,active,0.8,job_listing,
adzuna,Drive With Gopuff,GoPuff,"Winchester, Middlesex County",Winchester,Middlesex County,83677.82,83677.82,active,0.8,job_listing,
adzuna,"1st and 2nd Shift Repair Operator - Wilmington, MA",CHEP,"Medford, Middlesex County",Medford,Middlesex County,81672.34,81672.34,active,0.8,job_listing,
adzuna,"Gopuff Delivery Driver Partner - No Riders, No Restaurants",GoPuff,"Waltham, Middlesex County",Waltham,Middlesex County,47648.86,47648.86,active,0.8,job_listing,
adzuna,"1st and 2nd Shift Repair Operator - Wilmington, MA",CHEP,"Melrose, Middlesex County",Melrose,Middlesex County,104503.75,104503.75,active,0.8,job_listing,
adzuna,Drive with Gopuff - Flexible Hours,Gopuff,"Needham, Norfolk County",Needham,Norfolk County,55421.29,55421.29,active,0.8,job_listing,
adzuna,Gopuff Delivery Gigs,GoPuff,"Everett, Middlesex County",Everett,Middlesex County,100247.95,100247.95,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver - Choose when you work,Gopuff,"Melrose, Middlesex County",Melrose,Middlesex County,85000.98,85000.98,active,0.8,job_listing,
adzuna,Need a Side Hustle? Deliver with Gopuff!,GoPuff,"Waltham, Middlesex County",Waltham,Middlesex County,74988.78,74988.78,active,0.8,job_listing,
adzuna,Second Cook,Hebrew SeniorLife,"Malden, Middlesex County",Malden,Middlesex County,58636.16,58636.16,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver - Choose when you work,GoPuff,"Waltham, Middlesex County",Waltham,Middlesex County,64772.48,64772.48,active,0.8,job_listing,
adzuna,Make Your Own Schedule - Deliver With Gopuff,GoPuff,"South Boston, Suffolk County",South Boston,Suffolk County,66637.15,66637.15,active,0.8,job_listing,
adzuna,"1st and 2nd Shift Repair Operator - Wilmington, MA",CHEP,"West Somerville, Middlesex County",West Somerville,Middlesex County,86471.31,86471.31,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver,GoPuff,"Stony Brook, Middlesex County",Stony Brook,Middlesex County,65258.4,65258.4,active,0.8,job_listing,
adzuna,Clinical Dietitian,Hebrew SeniorLife,"West Roxbury, Suffolk County",West Roxbury,Suffolk County,103854.88,103854.88,active,0.8,job_listing,
adzuna,Gopuff Delivery Driver Partner,Gopuff,"Stony Brook, Middlesex County",Stony Brook,Middlesex County,70000.97,70000.97,active,0.8,job_listing,
adzuna,"Deliver Food with Gopuff - No Riders, No Restaurants",GoPuff,"Stony Brook, Middlesex County",Stony Brook,Middlesex County,41793.82,41793.82,active,0.8,job_listing,
