job_id,title,employer,sector,source,salary_min,salary_max,location,latitude,longitude,remote,posted_date,url,zip,confidence
26-TEMPF4-R5-FS0936-5DH,Forestry Technician (Fire Dispatch),Forest Service,federal,usajobs,25.12,25.12,"Austin, Texas",30.2676,-97.743,,2025-12-31T00:00:00.0000,https://www.usajobs.gov:443/job/853303700,78738,0.62
DOWVolunteerForce-2025,Volunteer Force (DOW Detail),Federal Emergency Management Agency,federal,usajobs,25684,191900,"Austin, Texas",30.2676,-97.743,,2025-09-29T14:18:01.4670,https://www.usajobs.gov:443/job/846915600,78738,0.62
SH-12855752,Criminal Investigator (Desk Officer),Social Security Administration,federal,usajobs,143913,187093,"Austin, Texas",30.2676,-97.743,,2025-12-23T00:00:00.0000,https://www.usajobs.gov:443/job/853098200,78738,0.62
FSA-25-12854109-WDC-MM,Management and Program Analyst,Farm Service Agency,federal,usajobs,169279,197200,"Austin, Texas",30.2676,-97.743,,2025-12-22T13:37:19.8100,https://www.usajobs.gov:443/job/853065100,78738,0.62
FSA-25-12857000-IMP-MM,SUPERVISORY LOAN SPECIALIST (AGRL),Farm Service Agency,federal,usajobs,143913,187093,"Austin, Texas",30.2676,-97.743,,2025-12-22T13:31:28.3970,https://www.usajobs.gov:443/job/853063800,78738,0.62
PUBLICNOTICE-DEA-BA2025,PUBLIC NOTICE- DEA Criminal Investigators,Drug Enforcement Administration,federal,usajobs,48854,82938,"Austin, Texas",30.2676,-97.743,,2025-03-17T00:00:00.0000,https://www.usajobs.gov:443/job/833745400,78738,0.62
AGL-ERR-25-2101-96016,Technical Operations (AJW) Airway Transportation Systems Specialist Employee Requested Reassignment,Federal Aviation Administration,federal,usajobs,46366,146571,"Austin, Texas",30.2676,-97.743,,2025-09-29T00:00:00.0000,https://www.usajobs.gov:443/job/846713900,78738,0.62
DHA-FY25/26-GS-PCIP-1-JSC,Student Trainee,Air Force Civilian Career Training,federal,usajobs,36825,52426,"Austin, Texas",30.2676,-97.743,,2025-09-29T00:00:00.0000,https://www.usajobs.gov:443/job/846866000,78738,0.62
CAZM-12808167-25-NS,"Physician, Psychiatrist with EDRP",Veterans Health Administration,federal,usajobs,123077,280000,"Austin, Texas",30.2676,-97.743,,2025-09-30T00:00:00.0000,https://www.usajobs.gov:443/job/847000800,78738,0.62
NIGC-26-EW-001(EXC),Training Program Specialist (Intern),Office of the Secretary of the Interior,federal,usajobs,27.66,35.97,"Austin, Texas",30.2676,-97.743,,2025-12-22T00:00:00.0000,https://www.usajobs.gov:443/job/852954000,78738,0.62
