job_id,title,employer,sector,source,salary_min,salary_max,location,zip,remote,posted_date,url
5562690948,IPM Technician- Barre-White River Junction-Springfield Vermont,PEST END INC,private,adzuna,43680,56160,"Barre Junction, Washington County",05843,False,2026-01-01T07:57:42Z,https://www.adzuna.com/details/5562690948?utm_medium=api&utm_source=516145e7
5559120142,Senior Account Executive,The N2 Company,private,adzuna,66190.62,66190.62,"Stowe, Lamoille County",05843,False,2025-12-29T10:55:09Z,https://www.adzuna.com/details/5559120142?utm_medium=api&utm_source=516145e7
5521315555,Cashier ($14.01-$16) University of Vermont Medical Center,Towne Park,private,adzuna,55764.25,55764.25,"Winooski, Chittenden County",05843,False,2025-12-01T06:21:30Z,https://www.adzuna.com/details/5521315555?utm_medium=api&utm_source=516145e7
5552758755,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,46628.56,46628.56,"Highgate Springs, Franklin County",05843,False,2025-12-23T01:03:23Z,https://www.adzuna.com/land/ad/5552758755?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=AED2CE9BCC5064C279F9F9974736A1550E6A3723
5474354222,Retail Merchandiser,SAS Retail Services,private,adzuna,56786.66,56786.66,"Colbyville, Washington County",05843,False,2025-11-01T03:07:01Z,https://www.adzuna.com/land/ad/5474354222?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=47E60CA0AEEEB93A6745BB911A1395B04B8A5F90
5525203001,Traveling Retail Representative,SAS Retail Services,private,adzuna,50320.37,50320.37,"Burlington, Chittenden County",05843,False,2025-12-02T22:15:36Z,https://www.adzuna.com/land/ad/5525203001?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=FC6D8A8B08C595CF6897E06CCD1DC8AA214029BE
5421713964,Retail Representative,SAS Retail Services,private,adzuna,37100.76,37100.76,"Thetford, Orange County",05843,False,2025-09-30T04:58:25Z,https://www.adzuna.com/land/ad/5421713964?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=C11F5056EA1BBC5DAAFB1964ADB75B80333F5164
5395326177,Curriculum and Instruction Specialist,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,88812.8,88812.8,"Barre Junction, Washington County",05843,False,2025-09-11T20:06:37Z,https://www.adzuna.com/land/ad/5395326177?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=76A81039643962AD5A68936AB6869611C3D53C0F
5562517842,Retail Store Stocking Associate,Spar Group,private,adzuna,43951.15,43951.15,"Enosburg Falls, Franklin County",05843,False,2026-01-01T06:03:35Z,https://www.adzuna.com/land/ad/5562517842?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=19168ACBC8EAB6779B7DA1556A8BCEC4A3905157
5552758863,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,42066.38,42066.38,"Bordoville, Franklin County",05843,False,2025-12-23T01:03:33Z,https://www.adzuna.com/land/ad/5552758863?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=18F58A05DD8913105E541C33B164DE3150077A55
5562517884,Retail Store Stocking Associate,Spar Group,private,adzuna,45883.07,45883.07,"Bradford, Orange County",05843,False,2026-01-01T06:03:35Z,https://www.adzuna.com/land/ad/5562517884?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=07A063FC1844E7D3FE1FFDCB5C272CFE611083F5
5569370730,Food Service Manager - Subway,Global Partners,private,adzuna,52151.19,52151.19,"Lancaster, Coos County",05843,False,2026-01-05T22:03:12Z,https://www.adzuna.com/land/ad/5569370730?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=ECBB0FC423E8815086FE02A5DC1FDC2581FC7359
5474354223,Retail Stocking/Shelving Merchandiser,SAS Retail Services,private,adzuna,49529.45,49529.45,"Berlin, Washington County",05843,False,2025-11-01T03:07:01Z,https://www.adzuna.com/land/ad/5474354223?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=B0AA0FA9F721064CA3E08F4AB615A811219EA343
5552758750,Behavior Intervention Specialist 1:1,"ChanceLight Behavioral Health, Therapy, & Education",private,adzuna,43224.5,43224.5,"Sugarbush Valley, Washington County",05843,False,2025-12-23T01:03:23Z,https://www.adzuna.com/land/ad/5552758750?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=814822945B51A4C3A30D51CEB1128808E39E164D
5525203011,Retail Merchandiser,SAS Retail Services,private,adzuna,38275,38275,"Whitefield, Coos County",05843,False,2025-12-02T22:15:36Z,https://www.adzuna.com/land/ad/5525203011?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=3561F92752F2921CBAB26C2886C58B68EDD43B58
5428714938,"Residential Youth Caregiver - Relocation to Hershey, PA Required",Milton Hershey School,private,adzuna,56473.27,56473.27,"Pinewood, Chittenden County",05843,False,2025-10-03T01:20:13Z,https://www.adzuna.com/land/ad/5428714938?se=RJhlZyPr8BGWUcRZCdVU_g&utm_medium=api&utm_source=516145e7&v=36547BF9C401EE456BB813853F391F78B2841E80
